,Iterations,Training Loss,Validation Loss
0,100.0,1.4634966921357258,1.2098847457168889
1,200.0,1.463659315581793,1.2099796516141124
2,500.0,1.4626143557430076,1.2090948975042441
3,1000.0,1.4612395057615182,1.2083065884308306
4,1500.0,1.4614532905669633,1.208930205031025
